X,Y,Z,Red,Green,Blue,Classification,Classification Name
315000.39,6399109.26,28.73,0,0,0,1,Unclassified
315000.32,6399108.25,28.60,0,0,0,1,Unclassified
315000.25,6399107.21,28.52,0,0,0,1,Unclassified
315000.19,6399106.21,28.31,0,0,0,1,Unclassified
315000.12,6399105.17,28.22,0,0,0,1,Unclassified
315000.06,6399104.17,28.05,0,0,0,1,Unclassified
315000.00,6399103.14,27.85,0,0,0,1,Unclassified
315000.13,6399091.49,14.96,0,0,0,1,Unclassified
315000.03,6399084.98,25.39,0,0,0,1,Unclassified
315000.31,6399082.89,25.30,0,0,0,1,Unclassified
315000.19,6399081.63,25.68,0,0,0,1,Unclassified
315000.07,6399080.39,25.99,0,0,0,1,Unclassified
315000.05,6399063.52,28.75,0,0,0,1,Unclassified
315000.15,6399064.75,28.65,0,0,0,1,Unclassified
315000.25,6399065.96,28.59,0,0,0,1,Unclassified
315000.35,6399067.18,28.49,0,0,0,1,Unclassified
315000.40,6399061.64,28.73,0,0,0,1,Unclassified
315000.23,6399060.23,29.49,0,0,0,1,Unclassified
315000.23,6399059.24,28.71,0,0,0,1,Unclassified
315000.15,6399058.04,28.66,0,0,0,1,Unclassified
315000.07,6399056.86,28.56,0,0,0,1,Unclassified
315000.22,6399037.33,8.06,0,0,0,2,Ground
315000.15,6399036.12,7.79,0,0,0,2,Ground
315000.07,6399034.87,7.60,0,0,0,2,Ground
315000.11,6399037.34,22.95,0,0,0,1,Unclassified
315000.03,6399038.14,24.72,0,0,0,1,Unclassified
315000.09,6399039.29,25.11,0,0,0,1,Unclassified
315000.15,6399040.47,25.46,0,0,0,1,Unclassified
315000.22,6399041.65,25.80,0,0,0,1,Unclassified
315000.28,6399042.82,26.15,0,0,0,1,Unclassified
315000.35,6399044.00,26.44,0,0,0,1,Unclassified
315000.41,6399045.18,26.73,0,0,0,1,Unclassified
315000.11,6398997.48,8.56,0,0,0,2,Ground
315000.20,6398998.83,8.74,0,0,0,2,Ground
315000.26,6399000.10,9.19,0,0,0,2,Ground
315000.37,6399001.51,9.11,0,0,0,2,Ground
315000.38,6399011.40,18.63,0,0,0,1,Unclassified
315000.12,6399011.80,22.35,0,0,0,1,Unclassified
315000.01,6399012.61,24.40,0,0,0,1,Unclassified
315000.09,6399013.91,24.55,0,0,0,1,Unclassified
315000.18,6399015.20,24.72,0,0,0,1,Unclassified
315000.27,6399016.50,24.84,0,0,0,1,Unclassified
315000.36,6399017.79,24.94,0,0,0,1,Unclassified
315000.43,6398993.71,8.87,0,0,0,2,Ground
315000.32,6398992.32,8.86,0,0,0,2,Ground
315000.21,6398990.90,8.94,0,0,0,2,Ground
315000.09,6398989.47,9.08,0,0,0,2,Ground
315000.10,6398956.12,14.18,0,0,0,1,Unclassified
315000.42,6398958.08,11.99,0,0,0,2,Ground
315000.10,6398970.30,27.79,0,0,0,1,Unclassified
315000.22,6398971.75,27.72,0,0,0,1,Unclassified
315000.34,6398973.19,27.63,0,0,0,1,Unclassified
315000.37,6398964.69,27.63,0,0,0,1,Unclassified
315000.27,6398963.27,27.56,0,0,0,1,Unclassified
315000.17,6398961.86,27.44,0,0,0,1,Unclassified
315000.26,6398951.30,16.36,0,0,0,1,Unclassified
315000.09,6398949.70,16.97,0,0,0,1,Unclassified
315000.39,6398940.45,18.02,0,0,0,2,Ground
315000.36,6398935.35,19.99,0,0,0,1,Unclassified
315000.38,6398934.16,18.63,0,0,0,1,Unclassified
315000.29,6398932.72,18.29,0,0,0,2,Ground
315000.18,6398931.23,18.26,0,0,0,2,Ground
315000.08,6398929.75,18.14,0,0,0,2,Ground
315000.01,6398928.34,17.67,0,0,0,2,Ground
315000.00,6398906.63,13.34,0,0,0,2,Ground
315000.11,6398908.17,13.37,0,0,0,2,Ground
315000.22,6398909.70,13.50,0,0,0,2,Ground
315000.29,6398911.17,13.85,0,0,0,2,Ground
315000.37,6398912.62,14.28,0,0,0,2,Ground
